Raumname vorgeben,E-Mail Adresse
🥨 BaWüLänd, irgendeine@mailadresse.de
🍻 Bayernlab, irgendeine@mailadresse.de
📚 Bibliothek, irgendeine@mailadresse.de
🏫 BRU, irgendeine@mailadresse.de
🛖 Büdchen, irgendeine@mailadresse.de
🫕 Fonduestube, irgendeine@mailadresse.de
🐴 Niedersachsen, irgendeine@mailadresse.de
🔨 NRW, irgendeine@mailadresse.de
☕ Pfalz & Saar, irgendeine@mailadresse.de
🚀 Projektschmiede, irgendeine@mailadresse.de
🦄 RheinMain Goethe-Uni, irgendeine@mailadresse.de
🏰 Sachsen, irgendeine@mailadresse.de
🫂 Gruppenarbeit 1, irgendeine@mailadresse.de
🫂 Gruppenarbeit 2, irgendeine@mailadresse.de
🫂 Gruppenarbeit 3, irgendeine@mailadresse.de
🫂 Gruppenarbeit 4, irgendeine@mailadresse.de
🫂 Gruppenarbeit 5, irgendeine@mailadresse.de
🫂 Gruppenarbeit 6, irgendeine@mailadresse.de
