Raumname vorgeben,E-Mail Adresse
🔀 Sessionplanung (Durchgang zu den Räumen), irgendeine@mailadresse.de
🍻 Bayernlab, irgendeine@mailadresse.de
📚 Bibliothek, irgendeine@mailadresse.de
🍹 Cocktailbar, irgendeine@mailadresse.de
🍨 Eiscafé, irgendeine@mailadresse.de
☕ Espresso, irgendeine@mailadresse.de
🏡 Gartenterrasse, irgendeine@mailadresse.de
🎨 Latte Art, irgendeine@mailadresse.de
🏫 Lehrerzimmer, irgendeine@mailadresse.de
👨‍🔧 Maschinenraum, irgendeine@mailadresse.de
💬 Matrix, irgendeine@mailadresse.de
🐴 Niedersachsen, irgendeine@mailadresse.de
☕ Pfalz & Saar PLENUM, irgendeine@mailadresse.de
☕ Pfalz & Saar Austauschen, irgendeine@mailadresse.de
☕ Pfalz & Saar Kooperieren, irgendeine@mailadresse.de
☕ Pfalz & Saar Teilen, irgendeine@mailadresse.de
🚀 Projektschmiede, irgendeine@mailadresse.de
💆 Relax, irgendeine@mailadresse.de
🦄 RheinMain@Goethe-Uni, irgendeine@mailadresse.de
🛠️ Rösterei, irgendeine@mailadresse.de
🛋️ Sofaecke, irgendeine@mailadresse.de
🎮 Spielecke, irgendeine@mailadresse.de
🏖️ Strandcafé, irgendeine@mailadresse.de
🔇 Stummtisch, irgendeine@mailadresse.de
🧉 Teestube, irgendeine@mailadresse.de
🕸️ Vernetzungstreffen Ev. Schulen, irgendeine@mailadresse.de
🥽 Virtuelle Realität, irgendeine@mailadresse.de
🍷 Weinkeller, irgendeine@mailadresse.de
